shot_number_of,shot_number_tm,timestamp_of,timestamp_tm,club,ball_speed_of,ball_speed_tm,ball_speed_delta,club_speed_of,club_speed_tm,club_speed_delta,smash_of,smash_tm,smash_delta,launch_v_of,launch_v_tm,launch_v_delta,launch_h_of,launch_h_tm,launch_h_delta,spin_of,spin_tm,spin_delta,carry_of,carry_tm,carry_delta,match_quality,notes
10,,2026-05-06T15:33:21.288384,,driver,149.174,151.823,-2.648,100.604,104.53,-3.926,1.483,1.452,0.03,1.7,8.061,-6.361,,-7.708,,,1510.0,,265.102,214.686,50.416,good,
11,,2026-05-06T15:33:54.238455,,driver,148.665,151.294,-2.629,101.316,106.362,-5.045,1.467,1.422,0.045,10.6,14.449,-3.849,,-1.579,,,2179.0,,261.838,253.699,8.139,good,
12,,2026-05-06T15:34:25.947173,,driver,158.033,161.253,-3.22,106.611,108.429,-1.817,1.482,1.487,-0.005,12.0,10.269,1.731,,-3.694,,,2513.63,,286.618,266.344,20.274,good,
13,,2026-05-06T15:35:19.998610,,driver,64.965,162.173,-97.208,48.469,109.013,-60.544,1.34,1.488,-0.147,7.5,9.522,-2.022,,-3.913,,,1704.69,,83.881,259.154,-175.273,ball_speed_mismatch,ball-speed delta 97.2 mph exceeds tol 5.0 mph; check pairing manually
14,,2026-05-06T15:35:54.172130,,driver,159.662,162.553,-2.891,107.833,109.386,-1.553,1.481,1.486,-0.005,10.2,12.331,-2.131,-1.3,-4.293,2.993,,2321.0,,290.567,274.784,15.782,good,
15,,2026-05-06T15:36:59.122258,,driver,151.516,154.473,-2.957,104.982,110.509,-5.527,1.443,1.398,0.045,10.8,12.304,-1.504,-6.8,-7.526,0.726,,2366.69,,264.851,252.21,12.641,good,
16,,2026-05-06T15:38:09.774174,,driver,155.08,158.425,-3.345,105.491,109.337,-3.846,1.47,1.449,0.021,9.3,7.71,1.59,,-8.783,,,1573.04,,277.796,233.116,44.68,good,
17,,2026-05-06T15:39:05.569010,,driver,155.08,158.252,-3.172,104.371,107.044,-2.673,1.486,1.478,0.007,7.7,10.249,-2.549,,-7.547,,,1740.0,,279.46,253.708,25.752,good,
1,,2026-05-06T15:25:06.145967,,7-iron,120.969,123.789,-2.82,81.257,85.35,-4.094,1.489,1.45,0.038,11.7,15.353,-3.653,3.0,-1.226,4.226,,5491.61,,190.459,177.21,13.249,good,
2,,2026-05-06T15:25:47.595836,,7-iron,108.852,110.206,-1.355,79.22,83.386,-4.166,1.374,1.322,0.052,5.2,15.47,-10.27,8.9,-0.277,9.177,5054.0,5419.0,-365.0,158.706,153.188,5.518,good,
3,,2026-05-06T15:26:50.387077,,7-iron,116.081,118.725,-2.644,79.526,86.189,-6.663,1.46,1.377,0.082,25.3,16.652,8.648,-6.4,0.661,-7.061,,5718.06,,177.783,167.903,9.88,good,
4,,2026-05-06T15:27:32.634427,,7-iron,116.896,119.915,-3.019,80.442,86.209,-5.767,1.453,1.391,0.062,4.8,18.237,-13.437,-6.2,1.529,-7.729,,6078.56,,179.92,167.579,12.34,good,
5,,2026-05-06T15:27:58.987563,,7-iron,115.368,117.819,-2.451,80.646,85.717,-5.071,1.431,1.375,0.056,13.0,16.592,-3.592,-7.4,0.131,-7.531,,5821.38,,175.913,165.944,9.969,good,
6,,2026-05-06T15:28:35.352355,,7-iron,117.201,120.864,-3.663,79.526,85.876,-6.35,1.474,1.407,0.066,8.9,16.741,-7.841,-7.3,0.263,-7.563,,5764.6,,180.721,171.239,9.482,good,
7,,2026-05-06T15:28:58.509046,,7-iron,119.136,121.66,-2.524,80.035,85.498,-5.463,1.489,1.423,0.066,8.4,17.034,-8.634,-13.8,0.71,-14.51,,5671.25,,185.795,173.048,12.748,good,
8,,2026-05-06T15:30:22.671034,,7-iron,122.292,124.929,-2.637,82.071,86.171,-4.1,1.49,1.45,0.04,1.8,14.211,-12.411,4.0,-3.528,7.528,,5293.76,,193.735,180.732,13.003,good,
9,,2026-05-06T15:31:07.827053,,7-iron,122.802,117.262,5.54,83.599,85.534,-1.935,1.469,1.371,0.098,7.8,13.358,-5.558,-7.7,-3.227,-4.473,,5671.0,,194.995,164.013,30.982,ball_speed_mismatch,ball-speed delta 5.5 mph exceeds tol 5.0 mph; check pairing manually
18,,2026-05-06T15:40:18.720577,,pw,98.669,102.102,-3.433,69.038,82.503,-13.465,1.429,1.238,0.192,14.8,21.545,-6.745,4.1,-1.509,5.609,3296.0,8421.97,-5125.97,107.835,131.041,-23.206,good,
19,,2026-05-06T15:40:48.973900,,pw,102.131,105.282,-3.151,69.547,81.87,-12.323,1.469,1.286,0.183,23.0,21.941,1.059,,-2.651,,,8468.07,,140.413,135.407,5.006,good,
20,,2026-05-06T15:41:30.795292,,pw,99.484,102.505,-3.022,68.834,80.541,-11.707,1.445,1.273,0.173,5.6,23.166,-17.566,1.3,-0.97,2.27,,8354.29,,133.918,131.092,2.826,good,
21,,2026-05-06T15:42:13.079155,,pw,80.951,82.739,-1.788,67.612,80.474,-12.862,1.197,1.028,0.169,11.2,18.543,-7.343,,14.977,,10588.0,10455.77,132.23,110.347,91.206,19.14,good,
22,,2026-05-06T15:43:00.010101,,pw,98.669,99.435,-0.766,78.609,79.798,-1.189,1.255,1.246,0.009,23.1,19.892,3.208,0.0,-5.616,5.616,,7651.0,,135.532,128.882,6.649,good,
23,,2026-05-06T15:43:37.922578,,pw,101.927,104.579,-2.652,76.98,80.237,-3.257,1.324,1.303,0.021,2.4,21.923,-19.523,,-2.793,,3296.0,7865.36,-4569.36,113.549,135.966,-22.417,good,
24,,2026-05-06T15:44:31.522570,,pw,98.262,100.764,-2.502,77.489,80.351,-2.862,1.268,1.254,0.014,12.4,21.199,-8.799,,-3.608,,3296.0,8074.56,-4778.56,107.39,129.915,-22.525,good,
